City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1564,Sembabule,UG,75.61,light rain,-0.0772,31.4567,Rainbow Motel ( Sembabule )
1570,Wuwei,CN,76.19,overcast clouds,37.9281,102.6414,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
1572,Hurricane,US,76.03,few clouds,37.1753,-113.2899,Super 8 by Wyndham Hurricane Zion National Park
1573,Rapar,IN,89.47,overcast clouds,23.5667,70.6333,Dharamshi Bapa’s Home
1574,Foggia,IT,65.98,few clouds,41.45,15.5333,B&B White
1577,Sitio Novo Do Tocantins,BR,76.93,clear sky,-5.5183,-47.4611,Imperial Hotel
1579,Ayni,TJ,75.83,clear sky,39.3941,68.5377,Меҳмонхона СУҒД
1583,Wamba,NG,74.66,scattered clouds,8.9333,8.6,Roma Zee Guest House Annex
1585,Kralendijk,BQ,82.38,clear sky,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
1587,Mitsamiouli,KM,86.29,few clouds,-11.3847,43.2844,Foyer ADM
1588,Cartagena Del Chaira,CO,70.03,clear sky,1.3349,-74.8429,HOTEL LA ROCA
1589,Celestun,MX,77.97,clear sky,20.8667,-90.4,Posada Lilia
1593,Qinggang,CN,68.14,clear sky,46.6833,126.0833,Gold Hotel
1597,Camabatela,AO,67.53,overcast clouds,-8.1881,15.375,Pensão E Restaurantes
1598,Alto Parana,BR,69.42,clear sky,-23.1289,-52.3189,Família JF
1600,Ajdabiya,LY,74.79,clear sky,30.7554,20.2263,Almadina Hotel
1603,Mossendjo,CG,71.69,light rain,-2.9506,12.7261,HOTEL D'ASSISE
1604,Sao Miguel Do Araguaia,BR,76.59,clear sky,-13.275,-50.1628,Hotel Executivo Palace
1607,Bacolod,PH,84.76,heavy intensity rain,10.6667,122.95,Planta Hotel & Residences
1608,Sukumo,JP,72.99,overcast clouds,32.9333,132.7333,Sukumojo
1609,Jiuquan,CN,78.06,clear sky,39.7432,98.5174,Jiuquan Hotel
1610,Harmanli,BG,68.61,clear sky,41.9333,25.9,Prima Hotel
1611,Bouna,CI,70.68,overcast clouds,9.2667,-3.0,Hotel Reserve
1613,Lokoja,NG,75.13,overcast clouds,7.8024,6.743,Hotel Charvid
1615,Vicksburg,US,65.55,few clouds,32.3526,-90.8779,La Quinta Inn & Suites by Wyndham Vicksburg
1616,Bafq,IR,81.88,clear sky,31.6128,55.4107,Alamdar Hotel
1617,Niihama,JP,81.39,scattered clouds,33.9593,133.3167,スーパーホテル新居浜
1619,Shizuishan,CN,78.82,overcast clouds,39.2333,106.7694,Xingji Hotel
1621,Tikrit,IQ,87.21,clear sky,34.6071,43.6782,عماره العبطه
1622,Kindu,CD,75.67,broken clouds,-2.95,25.95,Résidence Okanda
1623,Coachella,US,86.23,clear sky,33.6803,-116.1739,Fantasy Springs Resort Casino
1624,Karonga,MW,81.09,scattered clouds,-9.9333,33.9333,Sumuka Inn
1625,Saqqez,IR,68.34,clear sky,36.2499,46.2735,Saqqez Hotel
1626,Itoman,JP,88.18,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
1628,Linhares,BR,65.98,few clouds,-19.3911,-40.0722,Hotel Conceição
1630,Aparecida Do Taboado,BR,72.5,overcast clouds,-20.0867,-51.0936,Aritana
1631,Podgorica,ME,65.98,clear sky,42.4411,19.2636,Hotel Podgorica
1632,Banjar,ID,84.06,broken clouds,-8.19,114.9675,The Hamsa Resort
1635,Ternate,ID,82.11,scattered clouds,0.8,127.4,Grand Dafam Bela Ternate
1638,The Valley,AI,80.46,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
1639,Mishan,CN,68.67,overcast clouds,45.55,131.8833,Mishan Hotel
1640,Rajshahi,BD,92.97,overcast clouds,24.3667,88.6,Anjum Hotel International
1641,Ransang,PH,84.47,light rain,8.9603,117.5828,Black and Crystal Sand Campsite
1642,Salaga,GH,74.01,overcast clouds,8.5508,-0.5188,Bore Nada Guest House
