City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
1951,Gambela,ET,8.25,34.5833,80.08,66,48,2.24,scattered clouds
1952,Urmenis,RO,46.7667,24.3667,52.83,64,1,4.68,clear sky
1953,Muskegon,US,43.3,-86.1334,70.21,71,1,18.41,clear sky
1954,Baoqing,CN,46.3317,132.2111,65.95,82,100,5.88,overcast clouds
1955,Illapel,CL,-31.6308,-71.1653,56.64,68,0,2.1,clear sky
1956,Ode,NG,7.7899,5.7117,69.67,97,99,5.28,overcast clouds
1957,Loikaw,MM,19.6742,97.2094,73.85,91,100,5.23,moderate rain
1958,Kirkwall,GB,58.9848,-2.9587,50.34,97,75,0.0,light intensity drizzle rain
1959,Santa Barbara,US,34.7333,-120.0343,57.83,92,90,0.0,overcast clouds
1960,Garowe,SO,8.4054,48.4845,91.26,31,54,22.44,broken clouds
1961,Pyrzyce,PL,53.1462,14.8926,61.18,77,61,12.59,broken clouds
1962,Rio Pardo De Minas,BR,-15.6097,-42.5397,60.84,98,11,3.38,few clouds
1963,Teahupoo,PF,-17.8333,-149.2667,71.56,82,67,15.43,broken clouds
1964,Denizli,TR,37.8402,29.0698,65.25,29,100,3.27,overcast clouds
1965,Litovko,RU,49.2361,135.1742,66.47,65,100,5.91,overcast clouds
1966,Manavalakurichi,IN,8.1333,77.3,84.29,93,100,25.32,overcast clouds
1967,Torrington,US,41.8007,-73.1212,56.97,91,87,4.07,overcast clouds
1968,Durant,US,33.994,-96.3708,70.29,63,1,3.44,clear sky
1969,Astoria,US,46.1879,-123.8313,62.02,95,90,5.01,mist
1970,At-Bashi,KG,41.1702,75.8106,70.34,11,0,5.77,clear sky
1971,Bairiki,KI,1.3292,172.9752,84.2,74,20,14.97,few clouds
1972,Salihorsk,BY,52.7876,27.5415,48.09,78,2,8.84,clear sky
1973,Magdalena,PH,14.1999,121.429,87.12,65,48,6.55,moderate rain
1974,Povenets,RU,62.8487,34.8262,49.23,88,100,4.52,overcast clouds
1975,Inyonga,TZ,-6.7167,32.0667,79.86,31,37,8.03,scattered clouds
1976,Kishanganj,IN,26.1167,87.9333,95.07,51,1,7.02,clear sky
1977,Mus,TR,39.0,41.75,51.84,25,0,3.42,clear sky
1978,Muhos,FI,64.808,25.9931,42.58,71,57,6.58,broken clouds
1979,Bima,ID,-8.4667,118.7167,87.12,55,99,1.16,overcast clouds
1980,Ruwi,OM,23.5996,58.5507,91.09,48,4,6.06,clear sky
1981,Baisha,CN,26.5222,110.9311,91.29,51,38,2.15,scattered clouds
1982,Excelsior Springs,US,39.3392,-94.2261,76.82,43,1,5.75,clear sky
1983,Ayutla,MX,20.1167,-104.3333,64.38,94,100,2.62,overcast clouds
1984,Plavinas,LV,56.6178,25.7255,48.49,76,6,5.12,clear sky
1985,Taiyuan,CN,37.8694,112.5603,75.06,46,0,2.24,clear sky
1986,Grandview,US,38.8858,-94.533,75.81,54,1,3.0,clear sky
1987,Chulumani,BO,-16.4096,-67.5263,65.75,81,95,0.27,overcast clouds
1988,Farafenni,GM,13.5667,-15.6,75.07,86,100,2.93,overcast clouds
1989,Qidong,CN,31.8128,121.6561,88.99,74,7,9.57,clear sky
